Block_Index,Message,HashTime_uS,VerifyTime_uS,PrevHash_OK,Valid
0,"t=22.73,h=36.34,p=1011.86",150,113,True,True
1,"t=22.73,h=36.34,p=1011.86",71,26,True,True
2,"t=22.77,h=36.36,p=1011.87",64,2,True,True
3,"t=22.77,h=36.36,p=1011.87",61,2,True,True
4,"t=22.77,h=36.36,p=1011.87",63,2,True,True
5,"t=22.77,h=36.36,p=1011.87",61,2,True,True
6,"t=22.77,h=36.36,p=1011.87",62,2,True,True
7,"t=22.77,h=36.36,p=1011.87",61,2,True,True
8,"t=22.77,h=36.36,p=1011.87",63,4,True,True
9,"t=22.77,h=36.36,p=1011.87",61,2,True,True
10,"t=22.77,h=36.36,p=1011.87",62,2,True,True
11,"t=22.77,h=36.36,p=1011.87",61,2,True,True
12,"t=22.80,h=36.34,p=1011.84",62,2,True,True
13,"t=22.80,h=36.34,p=1011.84",62,36,True,True
14,"t=22.80,h=36.34,p=1011.84",71,7,True,True
15,"t=22.80,h=36.34,p=1011.84",62,9,True,True
16,"t=22.80,h=36.34,p=1011.84",61,7,True,True
17,"t=22.80,h=36.34,p=1011.84",63,4,True,True
18,"t=22.80,h=36.34,p=1011.84",61,4,True,True
19,"t=22.80,h=36.34,p=1011.84",62,4,True,True
20,"t=22.80,h=36.34,p=1011.84",61,5,True,True
21,"t=22.80,h=36.32,p=1011.81",62,4,True,True
22,"t=22.80,h=36.32,p=1011.81",62,4,True,True
23,"t=22.80,h=36.32,p=1011.81",62,4,True,True
24,"t=22.80,h=36.32,p=1011.81",61,4,True,True
25,"t=22.80,h=36.32,p=1011.81",62,41,True,True
26,"t=22.80,h=36.32,p=1011.81",71,7,True,True
27,"t=22.80,h=36.32,p=1011.81",62,7,True,True
28,"t=22.80,h=36.32,p=1011.81",61,6,True,True
29,"t=22.80,h=36.32,p=1011.81",62,6,True,True
30,"t=22.80,h=36.32,p=1011.81",61,7,True,True
31,"t=22.85,h=36.33,p=1011.89",63,6,True,True
32,"t=22.85,h=36.33,p=1011.89",61,6,True,True
33,"t=22.85,h=36.33,p=1011.89",62,6,True,True
34,"t=22.85,h=36.33,p=1011.89",61,6,True,True
35,"t=22.85,h=36.33,p=1011.89",64,2,True,True
36,"t=22.85,h=36.33,p=1011.89",61,2,True,True
37,"t=22.85,h=36.33,p=1011.89",65,37,True,True
38,"t=22.85,h=36.33,p=1011.89",63,7,True,True
39,"t=22.85,h=36.33,p=1011.89",63,7,True,True
40,"t=22.85,h=36.33,p=1011.89",61,7,True,True
41,"t=22.86,h=36.31,p=1011.89",62,3,True,True
42,"t=22.86,h=36.31,p=1011.89",61,2,True,True
43,"t=22.86,h=36.31,p=1011.89",63,2,True,True
44,"t=22.86,h=36.31,p=1011.89",61,2,True,True
45,"t=22.86,h=36.31,p=1011.89",62,2,True,True
46,"t=22.86,h=36.31,p=1011.89",61,2,True,True
47,"t=22.86,h=36.31,p=1011.89",62,2,True,True
48,"t=22.86,h=36.31,p=1011.89",61,36,True,True
49,"t=22.86,h=36.31,p=1011.89",63,7,True,True
50,"t=22.86,h=36.31,p=1011.89",61,8,True,True
51,"t=22.87,h=36.33,p=1011.89",62,11,True,True
52,"t=22.87,h=36.33,p=1011.89",61,5,True,True
53,"t=22.87,h=36.33,p=1011.89",62,5,True,True
54,"t=22.87,h=36.33,p=1011.89",61,5,True,True
55,"t=22.87,h=36.33,p=1011.89",62,22,True,True
56,"t=22.87,h=36.33,p=1011.89",62,7,True,True
57,"t=22.87,h=36.33,p=1011.89",62,7,True,True
58,"t=22.87,h=36.33,p=1011.89",61,19,True,True
59,"t=22.87,h=36.33,p=1011.89",63,6,True,True
60,"t=22.88,h=36.32,p=1011.91",61,7,True,True
61,"t=22.88,h=36.32,p=1011.91",62,6,True,True
62,"t=22.88,h=36.32,p=1011.91",61,34,True,True
63,"t=22.88,h=36.32,p=1011.91",64,5,True,True
64,"t=22.88,h=36.32,p=1011.91",61,5,True,True
65,"t=22.88,h=36.32,p=1011.91",63,6,True,True
66,"t=22.88,h=36.32,p=1011.91",61,5,True,True
67,"t=22.88,h=36.32,p=1011.91",63,4,True,True
