Chunk_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,25,442,62306.40,55467.80,True,True
2,25,459,55616.20,55125.70,True,True
3,25,443,56012.70,57963.50,True,True
4,25,450,53631.50,53676.80,True,True
5,25,442,54987.50,57076.80,True,True
6,25,527,59698.00,56072.10,True,True
7,25,452,56057.10,60866.50,True,True
8,25,450,61380.70,55606.50,True,True
9,25,442,55584.80,55672.70,True,True
10,25,449,57529.40,56756.40,True,True
11,25,464,55193.80,62555.60,True,True
12,25,452,53880.10,54065.20,True,True
13,25,442,56062.10,56038.20,True,True
14,25,447,55220.40,55138.80,True,True
15,25,442,54926.50,55806.20,True,True
16,25,448,53720.00,56885.60,True,True
17,25,442,55803.30,57037.90,True,True
18,25,448,56550.00,56756.50,True,True
19,25,444,53761.60,54293.40,True,True
20,25,447,54603.90,55435.10,True,True
21,25,467,55798.00,56841.30,True,True
22,25,448,55272.30,55567.10,True,True
23,25,444,55424.50,57923.10,True,True
24,25,447,56315.80,54341.00,True,True
25,25,451,56108.60,56192.40,True,True
26,25,450,55739.00,56555.10,True,True
27,25,441,55646.00,57743.20,True,True
28,25,448,55251.70,54021.90,True,True
29,25,441,55308.90,54056.00,True,True
30,25,448,54764.80,56017.40,True,True
31,25,444,54631.10,54560.80,True,True
32,25,448,57300.10,53784.00,True,True
33,25,452,55375.00,56962.40,True,True
34,25,449,57514.90,53500.30,True,True
35,25,442,54725.70,54248.10,True,True
36,25,451,53666.60,54789.40,True,True
37,25,443,54522.60,55470.70,True,True
38,25,447,54833.70,53833.00,True,True
39,25,441,57328.80,54046.60,True,True
40,25,446,55247.40,56057.80,True,True
41,25,470,52928.60,54424.60,True,True
42,25,458,55175.60,53856.30,True,True
43,25,438,57315.80,55967.30,True,True
44,25,445,57342.60,54032.20,True,True
45,25,439,54070.50,56172.40,True,True
46,25,445,55236.90,52863.50,True,True
47,25,440,53286.70,53571.90,True,True
48,25,448,53633.60,57043.40,True,True
49,25,468,55772.70,54756.90,True,True
50,25,448,55728.50,55447.90,True,True
51,25,446,54646.20,53565.20,True,True
52,25,461,55758.30,54439.70,True,True
53,25,452,54462.90,55027.90,True,True
54,25,448,58654.70,53194.40,True,True
55,25,442,57249.70,55367.60,True,True
56,25,448,53582.70,54280.80,True,True
57,25,442,53117.60,53968.30,True,True
58,25,447,57294.00,53870.60,True,True
59,25,443,55805.70,54312.50,True,True
60,25,448,55546.80,54606.50,True,True
61,25,442,55489.00,56615.60,True,True
62,25,450,54879.10,53208.80,True,True
63,25,446,55383.70,55723.10,True,True
64,25,448,57940.70,55686.50,True,True
65,25,440,54475.50,55174.30,True,True
66,25,445,55307.10,55109.30,True,True
67,25,439,52255.00,55567.70,True,True
68,25,444,53737.50,54984.20,True,True
69,25,439,56824.00,55403.50,True,True
70,25,446,55088.20,57644.70,True,True
71,25,448,54775.60,54726.80,True,True
72,25,446,54727.20,54369.30,True,True
73,25,442,54451.80,54467.10,True,True
74,25,447,54321.20,53325.30,True,True
75,25,484,54834.70,57155.80,True,True
76,25,448,57841.60,55329.90,True,True
77,25,442,54754.90,55447.40,True,True
78,25,449,53403.10,55296.60,True,True
79,25,442,55204.70,54943.20,True,True
80,25,447,54334.70,55063.10,True,True
81,25,456,54077.10,54284.40,True,True
82,25,448,55746.50,55915.10,True,True
83,25,443,55577.60,55130.00,True,True
84,25,448,53257.90,55595.20,True,True
85,25,442,54348.30,53950.70,True,True
86,25,452,55888.10,53230.80,True,True
87,25,443,54703.90,56878.50,True,True
88,25,448,55692.60,56501.00,True,True
89,25,452,54507.70,56722.50,True,True
90,25,449,55920.70,53004.40,True,True
91,25,442,52241.30,53822.70,True,True
92,25,446,56796.80,56313.70,True,True
93,25,440,53938.20,57166.70,True,True
94,25,445,54981.00,55195.30,True,True
95,25,449,53515.10,56151.50,True,True
96,25,444,54574.40,55615.00,True,True
97,25,439,53859.90,54945.10,True,True
98,25,481,54806.10,54273.00,True,True
99,25,450,53910.80,54437.50,True,True
100,25,447,53626.10,56378.30,True,True
101,25,442,57165.70,56355.70,True,True
102,25,447,55366.30,54555.30,True,True
103,25,442,53655.10,57942.60,True,True
104,25,451,54998.40,56177.20,True,True
105,25,442,55992.10,58218.50,True,True
106,25,465,55287.80,54037.90,True,True
107,25,442,58014.00,56603.50,True,True
108,25,457,57463.00,56921.70,True,True
109,25,443,58081.00,58069.00,True,True
110,25,450,58550.60,57584.10,True,True
111,25,443,60935.00,58040.10,True,True
112,25,450,60170.30,56042.60,True,True
113,25,442,52076.60,57662.80,True,True
114,25,448,55147.80,53452.70,True,True
115,25,442,56997.60,55715.50,True,True
116,25,450,55703.60,57327.10,True,True
117,25,441,53152.10,57700.00,True,True
118,25,502,55828.80,55426.90,True,True
119,25,477,58997.10,55602.60,True,True
120,25,483,54403.20,54155.30,True,True
121,25,479,53142.20,56345.90,True,True
122,25,484,54929.70,56884.90,True,True
123,25,478,56065.40,53488.90,True,True
124,25,568,57255.20,54244.00,True,True
125,25,477,55075.60,53827.20,True,True
126,25,529,53476.80,52983.90,True,True
127,25,461,55434.80,56908.90,True,True
128,25,446,54866.80,55986.60,True,True
129,25,441,53434.10,55674.60,True,True
130,25,447,56784.60,55731.60,True,True
131,25,441,54161.90,54811.30,True,True
132,25,448,56477.20,54514.80,True,True
133,25,442,58858.90,54350.90,True,True
134,25,447,56748.40,54594.50,True,True
135,25,440,54565.00,54636.90,True,True
136,25,484,55860.10,53771.90,True,True
137,25,489,55048.80,55427.60,True,True
138,25,483,54837.10,54430.80,True,True
139,25,478,54556.20,57013.60,True,True
140,25,483,54044.70,54505.50,True,True
141,25,478,55675.00,55176.40,True,True
142,25,485,55288.90,56320.80,True,True
143,25,481,54394.90,54654.70,True,True
144,25,483,54478.90,55216.80,True,True
145,25,461,55185.40,54046.70,True,True
146,25,448,55877.50,55527.30,True,True
147,25,441,56918.50,56451.70,True,True
148,25,448,54359.20,55321.10,True,True
149,25,442,54686.10,55689.20,True,True
150,25,447,55597.70,52804.90,True,True
151,25,441,56700.60,55369.80,True,True
152,25,478,54331.70,55275.60,True,True
153,25,441,55515.20,54314.70,True,True
154,25,448,54631.10,57623.70,True,True
155,25,450,54612.70,54673.90,True,True
156,25,448,55945.40,53230.50,True,True
157,25,444,56044.30,57218.70,True,True
158,25,448,55360.40,54062.40,True,True
159,25,441,55323.80,55608.90,True,True
160,25,448,56418.80,56107.30,True,True
161,25,443,54158.10,55464.60,True,True
162,25,448,52673.10,55035.90,True,True
163,25,452,54300.00,55301.20,True,True
164,25,449,53305.00,54687.10,True,True
165,25,442,56524.50,55049.00,True,True
166,25,448,55375.90,55909.90,True,True
167,25,443,54525.30,54599.00,True,True
168,25,448,54999.00,56622.20,True,True
169,25,454,53981.30,57339.20,True,True
170,25,449,53502.50,55057.50,True,True
171,25,442,55133.40,56009.00,True,True
172,25,449,56566.10,53829.90,True,True
173,25,443,55543.40,57386.10,True,True
174,25,448,55028.80,55480.50,True,True
175,25,442,54748.30,54842.10,True,True
176,25,448,56425.20,55636.90,True,True
177,25,445,54971.80,57069.70,True,True
178,25,448,53795.90,54019.70,True,True
179,25,445,54320.90,55461.80,True,True
180,25,450,55133.20,55580.50,True,True
181,25,446,55271.10,56165.00,True,True
182,25,451,54942.70,57585.10,True,True
183,25,451,56553.60,58213.30,True,True
184,25,449,54681.60,56902.70,True,True
185,25,440,56104.50,55639.70,True,True
186,25,451,57731.00,61937.20,True,True
187,25,441,57064.70,58307.80,True,True
188,25,446,55704.50,56157.70,True,True
189,25,444,56819.80,57903.90,True,True
190,25,512,55731.60,54249.20,True,True
191,25,460,56282.80,57560.40,True,True
192,25,447,52983.80,56998.40,True,True
193,25,442,55415.10,54668.80,True,True
194,25,449,52755.30,57229.10,True,True
195,25,444,55389.10,55763.60,True,True
196,25,451,56485.80,56179.10,True,True
197,25,442,56012.50,54865.90,True,True
198,25,449,55481.50,55501.10,True,True
199,25,442,54136.90,55566.10,True,True
200,25,449,52096.70,55905.50,True,True
201,25,452,58120.40,57870.20,True,True
202,25,448,56524.50,56146.00,True,True
203,25,443,55378.10,57787.10,True,True
204,25,448,54680.10,54252.00,True,True
205,25,443,56120.60,56050.70,True,True
206,25,458,54985.90,58528.90,True,True
207,25,447,54656.30,55556.20,True,True
208,25,452,55676.60,55030.90,True,True
209,25,442,57192.00,60297.10,True,True
210,25,447,56334.50,54874.30,True,True
211,25,444,53665.70,56367.20,True,True
212,25,447,54754.90,56399.80,True,True
213,25,442,55979.10,57563.70,True,True
214,25,450,54782.50,55114.50,True,True
215,25,479,55998.70,56991.20,True,True
216,25,486,54332.30,56457.50,True,True
217,25,482,53470.00,54193.90,True,True
218,25,486,55790.60,54284.50,True,True
219,25,484,53971.30,52154.80,True,True
220,25,496,54283.30,52752.60,True,True
221,25,481,57583.80,53261.90,True,True
222,25,482,53200.80,54259.70,True,True
223,25,477,52609.00,55576.00,True,True
224,25,459,55537.70,55274.00,True,True
225,25,443,54489.70,52593.70,True,True
226,25,450,55465.20,54706.10,True,True
227,25,452,56901.70,54451.40,True,True
228,25,448,53548.30,54700.10,True,True
229,25,443,53176.90,55213.10,True,True
230,25,458,56088.00,55664.20,True,True
231,25,443,55092.00,56641.50,True,True
232,25,448,56841.40,54135.90,True,True
233,25,446,53585.40,54894.60,True,True
234,25,447,57873.50,54790.00,True,True
235,25,441,56648.70,55225.90,True,True
236,25,448,54647.70,55140.70,True,True
237,25,444,54359.90,54677.90,True,True
238,25,456,55809.90,59098.10,True,True
239,25,441,53555.00,56918.70,True,True
240,25,447,55472.90,57169.30,True,True
241,25,442,53853.30,53230.30,True,True
242,25,493,55988.50,55050.20,True,True
243,25,442,55151.80,55942.20,True,True
244,25,447,56525.00,56472.60,True,True
245,25,482,54564.90,54339.50,True,True
246,25,448,57294.60,56937.50,True,True
247,25,451,54103.20,53860.20,True,True
248,25,449,55347.00,54898.30,True,True
249,25,442,55749.90,54284.20,True,True
250,25,448,54684.50,55889.50,True,True
251,25,442,55995.60,55646.20,True,True
252,25,450,54123.50,53683.30,True,True
253,25,442,55793.10,55195.40,True,True
254,25,448,58327.10,56062.20,True,True
255,25,443,54641.70,57128.80,True,True
256,25,450,55995.00,54704.20,True,True
257,25,442,56134.70,54353.10,True,True
258,25,457,55323.80,53485.40,True,True
259,25,445,53997.50,55922.60,True,True
260,25,449,54394.90,55867.70,True,True
261,25,445,56726.40,55501.30,True,True
262,25,448,55008.40,57295.70,True,True
263,25,442,55650.10,52807.90,True,True
264,25,448,53751.00,55545.90,True,True
265,25,443,54991.10,54283.60,True,True
266,25,447,55074.00,55891.20,True,True
267,25,453,56781.40,54548.50,True,True
268,25,451,55350.10,54022.40,True,True
269,25,443,53726.40,53826.80,True,True
270,25,449,56121.70,54912.90,True,True
271,25,442,54973.30,56150.30,True,True
272,25,449,53777.20,54607.40,True,True
273,25,523,57776.10,53890.10,True,True
274,25,449,53983.10,54092.00,True,True
275,25,453,53487.00,55700.80,True,True
276,25,449,55114.10,56556.20,True,True
277,25,478,55240.60,56986.70,True,True
278,25,483,54894.20,55627.40,True,True
279,25,477,66144.20,56125.60,True,True
280,25,483,55944.30,54475.40,True,True
281,25,482,54012.50,53592.90,True,True
282,25,483,56178.10,57352.50,True,True
283,25,478,54277.20,57227.10,True,True
284,25,482,54495.00,56008.30,True,True
285,25,491,53218.40,55228.10,True,True
286,25,496,53706.90,55089.10,True,True
287,25,482,55375.10,55130.30,True,True
288,25,485,55589.50,56123.80,True,True
289,25,479,55868.30,55862.60,True,True
290,25,484,55614.00,56431.20,True,True
291,25,505,54721.90,54929.40,True,True
292,25,483,54109.90,53337.20,True,True
293,25,476,54770.30,58506.90,True,True
294,25,458,56444.80,58456.40,True,True
295,25,443,54389.50,56035.30,True,True
296,25,451,56714.20,55206.30,True,True
297,25,443,53595.00,54184.00,True,True
298,25,449,55925.50,56358.50,True,True
299,25,442,55960.70,55186.30,True,True
300,25,449,53919.70,55179.20,True,True
301,25,443,56101.60,55338.40,True,True
302,25,448,57786.90,53042.80,True,True
303,25,451,55676.80,57454.80,True,True
304,25,449,55933.10,54480.90,True,True
305,25,442,55053.40,56260.90,True,True
306,25,449,55876.50,54070.20,True,True
307,25,441,53861.00,54213.10,True,True
308,25,449,54558.60,57778.40,True,True
309,25,442,58218.30,58109.20,True,True
310,25,449,56668.90,59491.70,True,True
311,25,444,55863.90,56265.40,True,True
312,25,536,57183.40,54360.30,True,True
313,25,454,53687.10,56414.80,True,True
314,25,448,55491.10,54478.40,True,True
315,25,442,55017.60,54830.60,True,True
316,25,447,55276.80,56604.40,True,True
317,25,442,58390.80,52235.50,True,True
318,25,447,55413.50,52444.90,True,True
319,25,441,55814.60,54565.60,True,True
320,25,447,54251.20,53977.60,True,True
321,25,438,55530.20,56266.50,True,True
322,25,454,54517.30,57223.60,True,True
323,25,439,54642.50,53022.30,True,True
324,25,449,57433.20,55221.90,True,True
325,25,440,56351.70,56556.00,True,True
326,25,444,55057.80,55524.00,True,True
327,25,441,55535.10,56419.70,True,True
328,25,446,55267.00,63256.70,True,True
329,25,446,54597.30,55171.10,True,True
330,25,448,53700.40,55763.70,True,True
331,25,453,52472.20,55347.70,True,True
332,25,450,59343.00,56539.70,True,True
333,25,442,55603.70,55059.10,True,True
334,25,449,54085.70,53854.30,True,True
335,25,443,54503.10,55562.90,True,True
336,25,448,55766.30,53403.80,True,True
337,25,443,60938.80,54563.50,True,True
338,25,449,54160.60,56347.00,True,True
339,25,492,55130.30,54454.10,True,True
340,25,458,54388.80,56848.80,True,True
341,25,441,55713.00,55192.60,True,True
342,25,449,58212.30,53374.50,True,True
343,25,445,56211.40,54276.70,True,True
344,25,448,54722.60,53459.70,True,True
345,25,441,55641.20,54677.60,True,True
346,25,451,54068.90,55188.60,True,True
347,25,442,53982.30,57632.40,True,True
348,25,449,55247.30,57460.40,True,True
349,25,446,55525.90,54132.40,True,True
350,25,448,56793.70,55226.00,True,True
351,25,452,52544.20,53641.80,True,True
352,25,449,58516.90,54201.00,True,True
353,25,442,55648.90,54235.00,True,True
354,25,450,56325.90,53217.00,True,True
355,25,444,56416.00,55086.00,True,True
356,25,449,54710.20,55911.20,True,True
357,25,443,53937.80,54104.50,True,True
358,25,448,56113.80,56399.60,True,True
359,25,452,57637.90,55378.00,True,True
360,25,448,54587.90,56593.30,True,True
361,25,442,55814.70,55175.40,True,True
362,25,449,54591.00,56135.60,True,True
363,25,443,55724.40,54954.50,True,True
364,25,449,56391.30,56590.10,True,True
365,25,443,52792.10,54597.60,True,True
366,25,449,54388.50,55110.50,True,True
367,25,443,53603.40,55548.90,True,True
368,25,500,57310.50,54832.80,True,True
369,25,452,55930.20,55291.10,True,True
370,25,449,53410.80,55352.60,True,True
371,25,444,55281.30,55250.20,True,True
372,25,449,55743.30,54306.90,True,True
