Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,926232120,21,444,1130389.90,59561.80,True,True
2,926232120,21,444,58049.20,59718.30,True,True
3,926232120,21,448,597101.50,64814.90,True,True
4,926232120,21,466,1137796.30,59046.30,True,True
5,926232120,21,445,594073.60,59116.70,True,True
6,926232120,21,444,61392.00,1608940.10,False,True
7,926232120,21,445,61507.30,594482.60,True,True
8,959786552,21,449,55247.50,58464.40,True,True
9,959786552,21,447,59102.30,60155.50,True,True
10,959786552,21,458,57572.90,593868.10,True,True
11,959786552,21,444,56623.20,592402.20,True,True
12,959786552,21,445,67155.40,596946.40,True,True
13,959786552,21,444,65843.10,61038.60,True,True
14,959786552,21,445,59856.20,60623.10,True,True
15,959786552,21,449,58356.80,57823.80,True,True
16,943009336,21,448,59025.20,593447.60,True,True
17,943009336,21,444,56643.60,70874.90,True,True
18,943009336,21,447,1133650.00,60412.40,True,True
19,943009336,21,448,58669.30,60721.20,True,True
20,943009336,21,455,60406.10,63500.00,True,True
21,943009336,21,446,61719.70,61256.50,True,True
22,943009336,21,445,61258.00,62409.60,True,True
23,943009336,21,446,61613.90,61114.40,True,True
24,909454904,21,441,64099.10,62022.20,True,True
25,909454904,21,443,62921.30,64999.40,True,True
26,909454904,21,441,65066.00,58591.30,True,True
27,909454904,21,441,1136953.50,618591.90,True,True
28,909454904,21,440,77790.00,1142225.80,True,True
29,909454904,21,442,63756.10,64614.90,True,True
30,909454904,21,443,57839.30,60987.20,True,True
31,959786552,21,475,58006.50,67219.80,True,True
32,959786552,21,454,58321.50,62809.20,True,True
33,959786552,21,445,595770.70,56712.40,True,True
34,959786552,21,445,60934.70,60181.80,True,True
35,959786552,21,446,63513.60,60529.90,True,True
36,959786552,21,445,54838.20,60327.30,True,True
37,959786552,21,446,60888.20,62484.10,True,True
38,959786552,21,444,74046.20,75051.20,True,True
39,959786552,21,448,71063.20,62463.30,True,True
40,926232120,21,440,61076.80,59281.10,True,True
41,926232120,21,462,58472.60,58625.10,True,True
42,926232120,21,450,594111.80,56794.80,True,True
43,926232120,21,442,596791.10,65258.40,True,True
44,926232120,21,444,57283.10,58400.30,True,True
45,926232120,21,442,60096.40,59201.70,True,True
46,926232120,21,440,60431.80,591336.30,True,True
47,926232120,21,454,82463.70,1615988.30,False,True
48,892677688,21,445,601767.30,62541.40,True,True
49,892677688,21,444,64605.40,58057.30,True,True
50,892677688,21,444,70946.00,1616227.20,False,True
51,892677688,21,447,597412.50,56742.70,True,True
