Chunk_ID,Sequence_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
1,875834929,21,461,53697.30,54892.70,True,True
2,875834929,21,448,55576.40,58802.10,True,True
3,875834929,21,460,53855.40,57235.00,True,True
4,875834929,21,444,54535.50,57582.20,True,True
5,842280497,21,461,55085.20,53045.50,True,True
6,842280497,21,443,55253.80,56657.90,True,True
7,842280497,21,458,55308.50,54539.00,True,True
8,842280497,21,451,55531.50,55257.10,True,True
9,842280497,21,478,56445.10,56026.20,True,True
10,842280497,21,448,55707.80,55175.90,True,True
11,842280497,21,470,54955.50,54585.10,True,True
12,842280497,21,453,53774.90,54884.80,True,True
13,842280497,21,457,57850.90,57184.00,True,True
14,859057713,21,449,55405.30,54546.70,True,True
15,859057713,21,471,57462.40,55671.70,True,True
16,859057713,21,452,55021.70,55637.30,True,True
17,859057713,21,457,56517.70,54104.40,True,True
18,859057713,21,453,55227.20,54627.30,True,True
19,859057713,21,460,55186.90,55855.30,True,True
20,859057713,21,452,56538.00,54796.30,True,True
21,859057713,21,458,55518.30,56842.10,True,True
22,859057713,21,449,56309.90,54125.30,True,True
23,842280497,21,461,54667.30,56291.60,True,True
24,842280497,21,451,56268.30,55812.90,True,True
25,842280497,21,457,56801.90,56262.20,True,True
26,842280497,21,456,53530.10,55197.30,True,True
27,842280497,21,460,54791.80,55746.50,True,True
28,842280497,21,451,54296.60,55196.70,True,True
29,842280497,21,465,55073.50,54120.40,True,True
30,842280497,21,446,56554.20,54490.30,True,True
31,842280497,21,461,55631.10,55342.30,True,True
32,842280497,21,453,57003.40,55860.50,True,True
33,842280497,21,457,57547.20,58546.30,True,True
34,842280497,21,449,58692.80,56022.50,True,True
35,842280497,21,461,55085.50,55446.00,True,True
36,842280497,21,454,56041.50,54938.90,True,True
37,842280497,21,457,54896.00,56060.90,True,True
38,842280497,21,451,56779.10,53056.90,True,True
39,842280497,21,470,53725.30,54834.50,True,True
40,825503281,21,447,54568.50,58894.90,True,True
41,825503281,21,457,52792.40,53519.60,True,True
42,825503281,21,450,55163.10,53773.30,True,True
43,825503281,21,460,56187.80,57654.30,True,True
44,825503281,21,446,55581.80,54701.50,True,True
45,825503281,21,456,55783.80,53312.20,True,True
46,825503281,21,454,56734.10,54747.60,True,True
