Entry,Message,SignTime_uS
0,"t=22.68,h=35.43,p=1008.52",46397
1,"t=22.68,h=35.42,p=1008.52",46370
2,"t=22.68,h=35.42,p=1008.52",46324
3,"t=22.66,h=35.43,p=1008.49",46327
4,"t=22.66,h=35.43,p=1008.49",46313
5,"t=22.69,h=35.43,p=1008.51",46317
6,"t=22.69,h=35.43,p=1008.51",46326
7,"t=22.69,h=35.43,p=1008.52",46313
8,"t=22.69,h=35.43,p=1008.52",46335
9,"t=22.69,h=35.43,p=1008.53",46321
10,"t=22.69,h=35.43,p=1008.53",46330
11,"t=22.69,h=35.43,p=1008.53",46310
12,"t=22.69,h=35.43,p=1008.53",46319
13,"t=22.69,h=35.42,p=1008.51",46318
14,"t=22.69,h=35.42,p=1008.51",46312
15,"t=22.68,h=35.43,p=1008.50",46317
16,"t=22.68,h=35.43,p=1008.50",46312
17,"t=22.69,h=35.43,p=1008.52",46325
18,"t=22.69,h=35.43,p=1008.52",46315
19,"t=22.69,h=35.43,p=1008.47",46313
20,"t=22.69,h=35.43,p=1008.47",46318
21,"t=22.69,h=35.43,p=1008.47",46316
22,"t=22.67,h=35.43,p=1008.49",46314
23,"t=22.67,h=35.43,p=1008.49",46313
24,"t=22.69,h=35.44,p=1008.53",46324
25,"t=22.69,h=35.44,p=1008.53",46310
26,"t=22.68,h=35.42,p=1008.50",46314
27,"t=22.68,h=35.42,p=1008.50",46312
28,"t=22.69,h=35.44,p=1008.54",46325
29,"t=22.69,h=35.44,p=1008.54",46318
30,"t=22.69,h=35.42,p=1008.51",46309
31,"t=22.69,h=35.42,p=1008.51",46306
32,"t=22.69,h=35.43,p=1008.52",46310
33,"t=22.69,h=35.43,p=1008.52",46309
34,"t=22.70,h=35.42,p=1008.54",46310
35,"t=22.70,h=35.42,p=1008.54",46314
36,"t=22.69,h=35.42,p=1008.50",46312
37,"t=22.69,h=35.42,p=1008.50",46325
38,"t=22.70,h=35.41,p=1008.53",46315
39,"t=22.70,h=35.41,p=1008.53",46330
40,"t=22.70,h=35.42,p=1008.51",46309
41,"t=22.70,h=35.42,p=1008.51",46316
42,"t=22.70,h=35.43,p=1008.50",46307
43,"t=22.70,h=35.43,p=1008.50",46315
44,"t=22.70,h=35.41,p=1008.50",46312
45,"t=22.70,h=35.41,p=1008.50",46320
46,"t=22.70,h=35.41,p=1008.52",46320
47,"t=22.70,h=35.41,p=1008.52",46324
48,"t=22.71,h=35.41,p=1008.53",46315
49,"t=22.71,h=35.41,p=1008.53",46345
50,"t=22.70,h=35.41,p=1008.53",46315
51,"t=22.70,h=35.41,p=1008.53",46324
52,"t=22.70,h=35.41,p=1008.51",46324
53,"t=22.70,h=35.41,p=1008.51",46325
54,"t=22.70,h=35.42,p=1008.54",46326
55,"t=22.70,h=35.42,p=1008.54",46322
56,"t=22.70,h=35.41,p=1008.51",46315
57,"t=22.70,h=35.41,p=1008.51",46311
58,"t=22.71,h=35.41,p=1008.55",46318
59,"t=22.71,h=35.41,p=1008.55",46308
60,"t=22.71,h=35.41,p=1008.53",46323
61,"t=22.71,h=35.41,p=1008.53",46313
62,"t=22.71,h=35.41,p=1008.54",46317
63,"t=22.71,h=35.41,p=1008.54",46330
64,"t=22.70,h=35.41,p=1008.52",46317
65,"t=22.70,h=35.41,p=1008.52",46327
66,"t=22.70,h=35.41,p=1008.51",46313
67,"t=22.70,h=35.41,p=1008.51",46320
68,"t=22.70,h=35.41,p=1008.51",46314
69,"t=22.70,h=35.41,p=1008.51",46321
70,"t=22.69,h=35.41,p=1008.49",46316
71,"t=22.69,h=35.41,p=1008.49",46328
72,"t=22.69,h=35.41,p=1008.49",46317
73,"t=22.70,h=35.40,p=1008.49",46320
74,"t=22.70,h=35.40,p=1008.49",46312
75,"t=22.70,h=35.39,p=1008.50",46327
76,"t=22.70,h=35.39,p=1008.50",46320
77,"t=22.71,h=35.40,p=1008.54",46325
78,"t=22.71,h=35.40,p=1008.54",46311
79,"t=22.71,h=35.41,p=1008.53",46318
80,"t=22.71,h=35.41,p=1008.53",46322
81,"t=22.71,h=35.40,p=1008.52",46316
82,"t=22.71,h=35.40,p=1008.52",46325
83,"t=22.71,h=35.40,p=1008.50",46312
