Block_Index,Frame_Bytes,HashTime_uS,VerifyTime_uS,PrevHash_OK,Valid
0,240,180,107,True,True
1,240,66,23,True,True
2,240,54,6,True,True
3,240,55,32,True,True
4,240,54,19,True,True
5,240,51,16,True,True
6,240,54,37,True,True
7,240,53,8,True,True
8,240,54,39,True,True
9,240,79,8,True,True
10,240,59,44,True,True
11,240,57,8,True,True
12,240,54,7,True,True
13,240,49,39,True,True
14,240,39,8,True,True
15,240,49,36,True,True
16,240,48,5,True,True
17,240,51,5,True,True
18,240,42,22,True,True
19,240,50,5,True,True
20,240,48,38,True,True
21,240,42,5,True,True
22,240,51,5,True,True
23,240,49,16,True,True
24,240,48,3,True,True
25,240,49,3,True,True
26,240,49,28,True,True
27,240,46,8,True,True
28,240,53,24,True,True
29,240,52,9,True,True
30,240,53,9,True,True
31,240,53,7,True,True
32,240,50,21,True,True
33,240,63,5,True,True
34,240,46,5,True,True
35,240,48,23,True,True
36,240,42,5,True,True
37,240,48,5,True,True
38,240,42,16,True,True
39,240,46,2,True,True
40,240,44,3,True,True
41,240,49,17,True,True
42,240,47,3,True,True
43,240,40,2,True,True
44,240,48,29,True,True
45,240,45,17,True,True
46,240,48,36,True,True
47,240,47,9,True,True
48,240,47,7,True,True
49,240,45,39,True,True
50,240,46,8,True,True
51,240,55,19,True,True
52,240,48,21,True,True
53,240,41,6,True,True
54,240,47,32,True,True
55,240,48,6,True,True
56,240,47,6,True,True
57,240,42,5,True,True
58,240,49,40,True,True
59,240,48,8,True,True
60,240,48,5,True,True
61,240,45,46,True,True
62,240,47,2,True,True
63,240,54,40,True,True
64,240,41,3,True,True
65,240,48,3,True,True
66,240,44,31,True,True
67,240,48,4,True,True
68,240,49,40,True,True
69,240,37,8,True,True
70,240,50,7,True,True
71,240,50,31,True,True
72,240,39,8,True,True
73,240,47,7,True,True
74,240,50,32,True,True
75,240,39,6,True,True
76,240,49,40,True,True
77,240,38,8,True,True
78,240,47,7,True,True
79,240,48,34,True,True
80,240,36,11,True,True
81,240,46,14,True,True
82,240,46,18,True,True
83,240,50,4,True,True
84,240,46,22,True,True
85,240,48,5,True,True
86,240,39,5,True,True
87,240,48,46,True,True
88,240,41,12,True,True
89,240,46,8,True,True
90,240,41,18,True,True
91,240,48,5,True,True
92,240,48,29,True,True
93,240,38,5,True,True
94,240,48,4,True,True
95,240,43,35,True,True
96,240,46,9,True,True
97,240,38,7,True,True
98,240,43,15,True,True
