Block_Index,Size_Bytes,HashTime_uS,VerifyTime_uS,PrevHash_OK,Valid
0,4096,48,73,True,True
1,4096,10,27,True,True
2,4096,22,17,True,True
3,4096,5,25,True,True
4,4096,22,17,True,True
5,4096,23,18,True,True
6,4096,23,16,True,True
7,4096,33,17,True,True
8,4096,20,17,True,True
9,4096,10,32,True,True
10,4096,30,26,True,True
11,4096,17,19,True,True
12,4096,21,32,True,True
13,4096,10,35,True,True
14,4096,23,36,True,True
15,4096,25,37,True,True
16,4096,27,49,True,True
17,4096,10,43,True,True
18,4096,24,42,True,True
19,4096,31,46,True,True
20,4096,24,17,True,True
21,4096,27,28,True,True
22,4096,28,42,True,True
23,4096,28,43,True,True
24,4096,31,25,True,True
25,4096,23,47,True,True
26,4096,28,39,True,True
27,4096,20,43,True,True
28,4096,9,19,True,True
29,4096,23,21,True,True
30,4096,10,26,True,True
31,4096,23,30,True,True
32,4096,262,30,True,True
33,4096,22,32,True,True
34,4096,10,27,True,True
35,4096,22,28,True,True
36,4096,9,9,True,True
37,4096,17,32,True,True
38,4096,21,16,True,True
39,4096,21,16,True,True
40,4096,20,33,True,True
41,4096,9,33,True,True
42,4096,21,36,True,True
43,4096,20,29,True,True
44,4096,20,33,True,True
45,4096,205,5,True,True
46,4096,25,29,True,True
47,4096,18,41,True,True
48,4096,18,16,True,True
49,4096,18,25,True,True
50,4096,19,23,True,True
51,4096,20,17,True,True
52,4096,7,27,True,True
53,4096,17,35,True,True
54,4096,7,6,True,True
55,4096,18,9,True,True
56,4096,16,5,True,True
57,4096,6,6,True,True
58,4096,60,7,True,True
59,4096,13,18,True,True
60,4096,22,36,True,True
61,4096,16,45,True,True
62,4096,7,22,True,True
63,4096,15,43,True,True
64,4096,17,42,True,True
65,4096,19,47,True,True
66,4096,16,43,True,True
67,4096,20,33,True,True
68,4096,19,19,True,True
69,4096,20,43,True,True
70,4096,16,29,True,True
71,4096,18,27,True,True
72,4096,18,20,True,True
73,4096,20,47,True,True
74,4096,15,27,True,True
75,4096,16,44,True,True
76,4096,8,42,True,True
77,4096,15,28,True,True
78,4096,18,46,True,True
79,4096,17,43,True,True
80,4096,21,42,True,True
81,4096,17,43,True,True
82,4096,8,18,True,True
83,4096,16,47,True,True
84,4096,6,42,True,True
85,4096,16,27,True,True
86,4096,19,18,True,True
87,4096,22,5,True,True
88,4096,6,54,True,True
89,4096,17,43,True,True
90,4096,19,27,True,True
91,4096,17,41,True,True
92,4096,19,20,True,True
93,4096,17,34,True,True
94,4096,8,19,True,True
95,4096,16,18,True,True
96,4096,19,16,True,True
97,4096,16,25,True,True
98,4096,18,18,True,True
99,4096,6,17,True,True
100,4096,17,18,True,True
101,4096,11,37,True,True
102,4096,23,16,True,True
103,4096,7,18,True,True
104,4096,21,33,True,True
105,4096,12,10,True,True
106,4096,23,17,True,True
107,4096,31,17,True,True
108,4096,22,29,True,True
109,4096,12,16,True,True
110,4096,22,34,True,True
111,4096,28,44,True,True
112,4096,22,44,True,True
113,4096,9,36,True,True
114,4096,22,43,True,True
115,4096,31,36,True,True
116,4096,27,26,True,True
117,4096,36,5,True,True
118,4096,7,5,True,True
119,4096,4,4,True,True
120,4096,8,4,True,True
121,4096,6,4,True,True
122,4096,52,4,True,True
123,4096,14,19,True,True
124,4096,24,28,True,True
125,4096,29,36,True,True
126,4096,18,42,True,True
127,4096,33,27,True,True
128,4096,27,30,True,True
129,4096,18,27,True,True
130,4096,26,26,True,True
131,4096,18,44,True,True
132,4096,26,34,True,True
133,4096,22,39,True,True
134,4096,21,43,True,True
135,4096,26,43,True,True
136,4096,17,42,True,True
137,4096,23,40,True,True
138,4096,18,13,True,True
139,4096,27,25,True,True
140,4096,17,17,True,True
141,4096,23,33,True,True
142,4096,16,45,True,True
143,4096,27,42,True,True
144,4096,17,44,True,True
145,4096,25,42,True,True
146,4096,16,17,True,True
147,4096,29,21,True,True
148,4096,16,17,True,True
149,4096,27,17,True,True
150,4096,17,11,True,True
151,4096,26,26,True,True
152,4096,8,39,True,True
153,4096,24,25,True,True
154,4096,17,24,True,True
155,4096,24,34,True,True
156,4096,18,34,True,True
157,4096,21,46,True,True
158,4096,16,19,True,True
159,4096,25,43,True,True
160,4096,15,42,True,True
161,4096,27,43,True,True
162,4096,25,47,True,True
163,4096,15,54,True,True
164,4096,28,43,True,True
165,4096,17,19,True,True
166,4096,26,26,True,True
167,4096,21,17,True,True
168,4096,23,35,True,True
