Chunk_ID,Size_Bytes,SeqNum,HashTime_uS,UploadLatency_uS,FetchLatency_uS,VerifyTime_uS,Valid
1,4096,0,39,215213,631546,16,True
2,4096,1,38,285761,583437,27,True
3,4096,2,21,281558,586904,10,True
4,4096,3,18,273556,576462,9,True
5,4096,4,36,201123,601213,15,True
6,4096,5,14,182548,589303,11,True
7,4096,6,17,244013,591802,9,True
8,4096,7,37,173032,591992,9,True
9,4096,8,33,260545,584758,8,True
10,4096,9,15,174989,578246,13,True
11,4096,10,30,171044,604356,10,True
12,4096,11,50,269528,590420,23,True
13,4096,12,49,277759,589098,9,True
14,4096,13,50,196845,576437,8,True
15,4096,14,305,171995,603670,8,True
16,4096,15,48,169976,583929,9,True
17,4096,16,43,175709,590527,9,True
18,4096,17,48,177222,594618,12,True
19,4096,18,17,187730,577888,11,True
20,4096,19,50,285333,576917,12,True
21,4096,20,49,173745,614374,11,True
22,4096,21,43,258334,606641,11,True
23,4096,22,18,276856,586873,11,True
24,4096,23,51,179455,584559,13,True
25,4096,24,47,183787,580353,11,True
26,4096,25,56,184460,586942,9,True
27,4096,26,19,174381,593549,8,True
28,4096,27,16,169014,594145,9,True
29,4096,28,17,183283,580380,14,True
30,4096,29,16,175353,610296,10,True
31,4096,30,17,175254,580314,9,True
32,4096,31,47,242040,601018,8,True
33,4096,32,47,279170,587491,9,True
34,4096,33,46,312965,586529,9,True
35,4096,34,17,173412,589861,18,True
36,4096,35,48,168923,595532,9,True
37,4096,36,46,175045,586215,24,True
38,4096,37,45,174455,578007,13,True
39,4096,38,271,175425,582390,17,True
40,4096,39,15,272531,607465,14,True
41,4096,40,15,270213,583264,14,True
42,4096,41,15,177767,584878,17,True
43,4096,42,15,171169,568375,13,True
44,4096,43,15,176116,585933,12,True
45,4096,44,15,175644,588891,9,True
46,4096,45,15,175740,580940,9,True
47,4096,46,16,165376,594768,13,True
48,4096,47,15,183873,572329,12,True
49,4096,48,15,278861,579360,14,True
50,4096,49,15,183070,599501,15,True
51,4096,50,17,171575,576080,12,True
52,4096,51,15,193111,615928,15,True
53,4096,52,15,185907,603298,9,True
54,4096,53,15,183801,572711,9,True
55,4096,54,16,170789,578685,10,True
56,4096,55,15,180556,569842,8,True
57,4096,56,15,172525,585104,9,True
