Chunk_ID,Size_Bytes,SeqNum,HashTime_uS,UploadLatency_uS,FetchLatency_uS,VerifyTime_uS,Valid
1,4096,0,37,192903,618422,17,True
2,4096,1,16,188491,614026,16,True
3,4096,2,26,183793,615780,8,True
4,4096,3,38,186370,609568,14,True
5,4096,4,35,179271,605092,10,True
6,4096,5,35,175741,603988,8,True
7,4096,6,33,190745,642626,9,True
8,4096,7,31,200287,610545,8,True
9,4096,8,27,183762,606374,12,True
10,4096,9,22,172950,611593,11,True
11,4096,10,43,181736,585427,11,True
12,4096,11,21,181796,627000,8,True
13,4096,12,30,184096,609252,15,True
14,4096,13,12,180421,603465,8,True
15,4096,14,31,176904,619753,9,True
16,4096,15,33,183565,605292,14,True
17,4096,16,31,187356,598853,12,True
18,4096,17,22,188251,596801,17,True
19,4096,18,206,195828,607358,12,True
20,4096,19,28,193786,596522,14,True
21,4096,20,23,189144,588524,8,True
22,4096,21,30,190445,606015,12,True
23,4096,22,56,176285,597508,9,True
24,4096,23,45,177066,601283,12,True
25,4096,24,33,190968,623188,9,True
26,4096,25,33,190683,614630,14,True
27,4096,26,15,185721,614039,10,True
28,4096,27,40,188501,598480,13,True
29,4096,28,33,182446,604927,8,True
30,4096,29,33,192324,597491,11,True
31,4096,30,19,183790,600387,8,True
32,4096,31,39,195188,629198,10,True
33,4096,32,33,174725,600102,13,True
34,4096,33,32,185279,594651,8,True
35,4096,34,307,186142,626789,15,True
36,4096,35,38,187356,609436,9,True
37,4096,36,33,178004,602539,13,True
38,4096,37,33,173792,619423,13,True
39,4096,38,173,189917,609930,8,True
40,4096,39,37,181458,618099,8,True
41,4096,40,34,179272,622256,10,True
42,4096,41,34,183188,615118,12,True
43,4096,42,19,179645,620354,15,True
44,4096,43,37,184022,592821,12,True
45,4096,44,33,171960,609471,13,True
46,4096,45,33,184788,593830,9,True
47,4096,46,310,173948,602909,10,True
48,4096,47,37,177025,618817,9,True
49,4096,48,33,177295,611837,9,True
50,4096,49,32,180871,603110,8,True
51,4096,50,317,187616,621161,18,True
52,4096,51,35,195546,637272,10,True
53,4096,52,32,177626,612591,17,True
54,4096,53,32,177709,598008,14,True
55,4096,54,214,177837,607202,12,True
56,4096,55,34,172374,611772,17,True
57,4096,56,16,180037,775960,12,True
58,4096,57,34,178812,613387,9,True
59,4096,58,33,180382,597084,8,True
60,4096,59,34,192088,614775,9,True
61,4096,60,32,179206,614584,9,True
62,4096,61,34,168872,592417,11,True
63,4096,62,268,179287,595867,7,True
64,4096,63,36,191905,599205,12,True
65,4096,64,33,179419,598863,10,True
66,4096,65,33,189890,612658,11,True
67,4096,66,303,194476,588525,14,True
68,4096,67,37,181911,610964,8,True
69,4096,68,34,194798,612895,8,True
70,4096,69,34,177982,602296,9,True
71,4096,70,228,251211,591261,15,True
72,4096,71,40,193525,592607,25,True
73,4096,72,43,171984,586296,8,True
74,4096,73,35,187390,588981,12,True
75,4096,74,54,185739,594332,13,True
76,4096,75,67,183189,599217,8,True
77,4096,76,46,192036,600328,12,True
78,4096,77,47,185542,604989,13,True
79,4096,78,18,183864,600820,11,True
80,4096,79,46,196033,614250,9,True
81,4096,80,44,178000,601277,9,True
82,4096,81,47,185977,596523,10,True
83,4096,82,63,176562,599903,14,True
84,4096,83,47,201808,589886,12,True
85,4096,84,46,195172,595189,8,True
86,4096,85,46,195673,603681,8,True
87,4096,86,277,184827,619600,10,True
88,4096,87,45,193109,585094,14,True
89,4096,88,62,185607,608663,8,True
90,4096,89,46,184620,588768,12,True
91,4096,90,96,191423,599924,12,True
92,4096,91,45,186728,604760,8,True
93,4096,92,60,183147,587036,9,True
94,4096,93,43,193912,600085,14,True
95,4096,94,53,186318,606042,10,True
96,4096,95,45,185335,601835,8,True
97,4096,96,48,185736,603721,8,True
98,4096,97,43,188228,600434,8,True
99,4096,98,97,183141,609691,9,True
100,4096,99,53,186621,589901,9,True
101,4096,100,32,184924,609843,15,True
102,4096,101,34,188627,625541,9,True
103,4096,102,16,182139,599732,12,True
104,4096,103,37,181284,597010,15,True
105,4096,104,33,180236,599968,9,True
106,4096,105,34,177408,610165,13,True
107,4096,106,44,191064,594829,27,True
108,4096,107,36,185112,596225,8,True
109,4096,108,34,178487,592172,11,True
110,4096,109,33,195230,612364,9,True
111,4096,110,255,184512,671564,12,True
112,4096,111,20,199352,661861,11,True
113,4096,112,35,177466,640499,12,True
114,4096,113,35,183275,608298,9,True
115,4096,114,18,181262,616093,12,True
116,4096,115,40,189652,606867,8,True
117,4096,116,32,204079,589689,13,True
118,4096,117,44,191477,606554,9,True
119,4096,118,17,187887,608975,12,True
120,4096,119,52,191696,615117,12,True
121,4096,120,45,199812,602850,9,True
122,4096,121,60,176311,627702,9,True
123,4096,122,96,179331,604366,13,True
124,4096,123,47,195877,593504,12,True
125,4096,124,48,191961,601051,12,True
126,4096,125,43,187818,595901,20,True
127,4096,126,83,179114,593740,9,True
128,4096,127,45,175994,603773,15,True
129,4096,128,46,174382,585126,20,True
130,4096,129,44,177884,593871,13,True
131,4096,130,97,191871,605940,12,True
132,4096,131,49,190184,605660,9,True
133,4096,132,18,190781,613676,10,True
134,4096,133,35,185565,632368,15,True
135,4096,134,170,183760,674960,11,True
