Chunk_ID,Size_Bytes,HashTime_uS,VerifyTime_uS,Valid
1,4096,18035,43852.90,True
2,4096,20512,36717.60,True
3,4096,19254,37798.10,True
4,4096,19000,36474.50,True
5,4096,18295,35793.20,True
6,4096,20773,38279.60,True
7,4096,21134,35938.10,True
8,4096,18966,36555.20,True
9,4096,19369,47958.70,True
10,4096,25004,35401.20,True
11,4096,19974,37100.70,True
12,4096,19829,36774.10,True
13,4096,17876,38051.70,True
14,4096,21546,35407.20,True
15,4096,19126,39329.70,True
16,4096,20093,37613.00,True
17,4096,19063,36865.90,True
18,4096,23002,36281.40,True
19,4096,18854,37430.00,True
20,4096,19334,37424.90,True
21,4096,19655,40098.40,True
22,4096,21440,39138.10,True
23,4096,18766,39018.10,True
24,4096,18721,37090.20,True
25,4096,19589,37574.20,True
26,4096,20753,38324.20,True
27,4096,20132,35947.00,True
28,4096,18425,38710.70,True
29,4096,18047,36407.10,True
30,4096,21487,36134.50,True
31,4096,19481,35488.50,True
32,4096,18943,37189.80,True
33,4096,17847,37656.30,True
34,4096,20408,38794.30,True
35,4096,18519,36713.70,True
36,4096,18255,39157.40,True
37,4096,18157,37729.00,True
38,4096,20398,37993.60,True
39,4096,18507,37246.60,True
40,4096,18972,38295.90,True
41,4096,19699,38952.40,True
42,4096,19851,37132.40,True
43,4096,18816,39118.40,True
44,4096,19115,35011.50,True
45,4096,19865,38725.50,True
46,4096,21524,36529.70,True
47,4096,18798,37493.70,True
48,4096,19289,37508.40,True
49,4096,19297,38047.50,True
50,4096,19794,36147.80,True
51,4096,18417,37124.70,True
52,4096,18366,36024.30,True
53,4096,18415,35043.90,True
54,4096,20329,37077.20,True
55,4096,19163,36768.30,True
56,4096,18421,36111.10,True
57,4096,19607,38129.00,True
58,4096,19342,36340.80,True
59,4096,18632,35420.70,True
60,4096,18717,36975.40,True
61,4096,18972,38063.10,True
62,4096,22076,36225.70,True
63,4096,19541,38468.00,True
64,4096,21001,37322.80,True
65,4096,19911,35248.90,True
66,4096,19626,36719.00,True
67,4096,20219,37807.30,True
68,4096,18690,38102.00,True
69,4096,18370,34973.50,True
70,4096,20034,35714.40,True
71,4096,19608,35528.40,True
72,4096,18052,35960.90,True
73,4096,20450,36375.50,True
74,4096,21369,37896.80,True
75,4096,19257,36099.20,True
76,4096,18329,36250.40,True
77,4096,18449,38845.40,True
78,4096,20437,35335.30,True
79,4096,20364,35312.90,True
80,4096,18833,37429.40,True
81,4096,19514,36973.50,True
82,4096,23099,36327.60,True
83,4096,18835,37218.20,True
84,4096,20619,36353.10,True
85,4096,18185,36816.20,True
86,4096,21562,36503.60,True
87,4096,20305,36837.10,True
88,4096,21976,34443.30,True
89,4096,22071,34662.40,True
90,4096,19765,37683.80,True
91,4096,18233,34790.30,True
92,4096,19127,35711.80,True
93,4096,21613,36764.70,True
94,4096,18434,35601.10,True
95,4096,19441,37215.10,True
96,4096,19937,33837.00,True
97,4096,22861,35556.50,True
98,4096,18580,37837.90,True
99,4096,21460,38936.50,True
100,4096,19347,35999.50,True
101,4096,18197,36907.40,True
102,4096,29307,37792.30,True
103,4096,21902,38114.80,True
104,4096,20792,36475.50,True
105,4096,26172,36281.20,True
106,4096,19453,34860.90,True
107,4096,24110,36776.00,True
108,4096,20870,35132.90,True
109,4096,18817,36538.50,True
110,4096,20083,34668.60,True
111,4096,24347,36771.40,True
112,4096,21691,35848.40,True
113,4096,18725,37961.10,True
114,4096,20630,35837.90,True
115,4096,23394,35431.60,True
116,4096,20121,36991.80,True
117,4096,18772,35846.40,True
118,4096,21874,36575.70,True
119,4096,20200,36850.40,True
120,4096,18742,36601.90,True
121,4096,20419,37196.10,True
122,4096,20304,37256.20,True
123,4096,20764,37200.00,True
124,4096,21582,36145.60,True
125,4096,23799,36674.40,True
126,4096,21168,35781.70,True
127,4096,21608,36486.50,True
128,4096,18157,35001.00,True
129,4096,18877,36367.00,True
130,4096,23967,37164.40,True
131,4096,18387,36674.60,True
132,4096,19066,34997.10,True
133,4096,18772,35725.20,True
134,4096,20776,34237.80,True
135,4096,19228,37227.40,True
136,4096,19265,37791.50,True
137,4096,19007,35900.80,True
138,4096,22018,36278.30,True
139,4096,19350,37942.20,True
140,4096,18115,36143.30,True
141,4096,19152,36550.20,True
142,4096,18939,37083.40,True
143,4096,20203,35250.40,True
144,4096,21548,36065.40,True
145,4096,19112,38340.00,True
146,4096,18478,36691.60,True
147,4096,18331,35683.60,True
148,4096,18866,36188.30,True
149,4096,19329,37062.10,True
150,4096,19753,35875.50,True
151,4096,19807,36562.60,True
152,4096,17610,35572.20,True
153,4096,18118,36709.70,True
154,4096,21144,36430.50,True
155,4096,18917,36908.40,True
156,4096,18900,35292.40,True
157,4096,18931,35681.90,True
158,4096,18857,34312.50,True
159,4096,21868,36229.70,True
160,4096,18004,35454.00,True
161,4096,19329,34523.80,True
162,4096,22442,35628.00,True
163,4096,21747,36879.60,True
164,4096,22692,35981.90,True
165,4096,18113,37023.70,True
166,4096,22410,35766.50,True
167,4096,19200,36062.00,True
168,4096,21914,37754.10,True
169,4096,17976,35390.50,True
170,4096,23346,36228.50,True
171,4096,18865,35562.00,True
172,4096,18918,36952.00,True
173,4096,19106,36800.00,True
174,4096,20220,35103.20,True
175,4096,19474,35197.40,True
176,4096,18336,36803.10,True
177,4096,19912,37810.70,True
178,4096,21278,34490.60,True
179,4096,20139,35273.90,True
180,4096,18749,36341.20,True
181,4096,18420,36279.50,True
182,4096,22033,37215.90,True
183,4096,19074,37769.10,True
184,4096,18657,36641.10,True
185,4096,21333,36429.50,True
186,4096,21026,36323.20,True
187,4096,17624,35574.10,True
188,4096,18948,36682.60,True
189,4096,20226,38885.90,True
190,4096,20010,35986.00,True
191,4096,20727,37413.40,True
192,4096,20037,35469.00,True
193,4096,18309,37641.40,True
194,4096,21107,37183.10,True
195,4096,19106,36928.40,True
196,4096,19595,36511.50,True
197,4096,18690,35420.70,True
198,4096,20081,36277.30,True
199,4096,17471,34815.60,True
200,4096,18511,34585.30,True
201,4096,21203,43834.30,True
202,4096,19144,42564.10,True
203,4096,18685,35631.90,True
204,4096,18583,35878.00,True
205,4096,19521,37581.00,True
206,4096,18449,38043.80,True
207,4096,18460,35483.20,True
208,4096,18873,36428.70,True
209,4096,19475,37931.20,True
210,4096,25325,35568.40,True
211,4096,22772,35828.50,True
212,4096,21676,35856.40,True
213,4096,20082,36198.90,True
214,4096,22832,37233.80,True
215,4096,18674,47195.60,True
216,4096,18761,35794.20,True
217,4096,18455,36949.00,True
218,4096,24920,37223.70,True
219,4096,18651,36137.70,True
220,4096,18668,36191.70,True
221,4096,21586,35871.80,True
222,4096,22649,34648.90,True
223,4096,18993,35171.00,True
224,4096,18938,34870.10,True
225,4096,18607,37348.80,True
226,4096,19179,36468.50,True
227,4096,19167,36165.80,True
228,4096,18723,35649.60,True
229,4096,17988,36897.40,True
230,4096,21381,36498.10,True
231,4096,18591,36314.50,True
232,4096,19190,34183.10,True
233,4096,21027,34347.80,True
234,4096,21473,34490.50,True
235,4096,19185,34701.20,True
236,4096,19208,35315.70,True
237,4096,20801,38019.30,True
238,4096,21022,36127.50,True
239,4096,19248,35521.10,True
240,4096,18438,34869.10,True
241,4096,19374,34023.00,True
242,4096,20344,36080.60,True
243,4096,19387,36790.30,True
244,4096,18717,36321.20,True
245,4096,19032,36920.70,True
246,4096,22375,35527.70,True
247,4096,18477,36610.30,True
248,4096,18779,34051.60,True
249,4096,20525,36417.00,True
250,4096,22617,36292.10,True
251,4096,19396,35546.80,True
252,4096,18999,37188.10,True
253,4096,18990,36289.00,True
254,4096,20131,36035.00,True
255,4096,18943,35697.50,True
256,4096,18678,35845.70,True
257,4096,18901,37691.00,True
258,4096,20105,37652.20,True
259,4096,18873,34851.60,True
260,4096,18090,34222.60,True
261,4096,19313,37045.10,True
262,4096,22640,35457.50,True
263,4096,19015,34662.50,True
264,4096,19159,36342.60,True
265,4096,18477,35502.30,True
266,4096,19074,37055.10,True
267,4096,18547,37473.40,True
268,4096,18728,34129.60,True
269,4096,19838,35972.80,True
270,4096,19609,35969.50,True
271,4096,18517,35782.60,True
272,4096,18495,36925.00,True
273,4096,19207,36440.90,True
274,4096,24212,35310.70,True
275,4096,21080,37027.90,True
276,4096,20248,34752.10,True
277,4096,19984,35165.40,True
278,4096,24247,36484.70,True
279,4096,18607,36765.10,True
280,4096,18841,36856.60,True
281,4096,19017,35248.80,True
282,4096,22411,35729.00,True
283,4096,18713,37435.40,True
284,4096,22297,36082.20,True
285,4096,18685,35338.10,True
286,4096,20097,35493.70,True
287,4096,18996,34717.80,True
288,4096,19099,36252.40,True
289,4096,19475,37381.00,True
290,4096,19432,36257.70,True
291,4096,19071,36050.30,True
292,4096,18760,35627.20,True
293,4096,19284,36611.50,True
294,4096,19480,34541.00,True
295,4096,18828,35417.50,True
296,4096,19087,35387.90,True
297,4096,20816,35268.60,True
298,4096,19935,37039.90,True
299,4096,18397,36053.90,True
300,4096,18637,36471.00,True
301,4096,19000,36873.20,True
302,4096,21537,37124.80,True
303,4096,19317,35320.30,True
304,4096,20025,33709.90,True
305,4096,19004,36609.80,True
306,4096,25450,35314.40,True
307,4096,21509,36164.80,True
308,4096,19001,35948.10,True
309,4096,18478,39316.20,True
310,4096,19588,34258.60,True
311,4096,18603,36495.60,True
312,4096,18852,36079.10,True
313,4096,18284,38130.70,True
314,4096,20319,36852.00,True
315,4096,19445,37144.50,True
316,4096,19457,37779.60,True
317,4096,20229,35945.10,True
318,4096,20420,35450.90,True
319,4096,19402,35368.40,True
320,4096,18300,35251.20,True
321,4096,19605,37810.50,True
322,4096,22536,35997.60,True
323,4096,18862,34968.80,True
324,4096,23252,34302.80,True
325,4096,19884,34186.30,True
326,4096,19840,36345.40,True
327,4096,18502,37154.30,True
328,4096,19353,36424.20,True
329,4096,19757,38043.20,True
330,4096,18304,36338.70,True
331,4096,18926,38447.00,True
332,4096,19067,35430.00,True
333,4096,18553,36721.40,True
334,4096,18609,36605.60,True
335,4096,19194,34395.70,True
336,4096,18437,35153.80,True
337,4096,19262,36610.00,True
338,4096,27788,36717.70,True
339,4096,18754,35325.10,True
340,4096,19652,36470.50,True
341,4096,19216,35973.40,True
342,4096,19484,35088.90,True
343,4096,19445,37261.50,True
344,4096,18570,35991.10,True
345,4096,18259,36300.40,True
346,4096,19787,37390.40,True
347,4096,18632,36697.70,True
348,4096,18657,36492.50,True
349,4096,18681,36179.90,True
350,4096,19291,35123.40,True
351,4096,18152,36098.90,True
352,4096,18707,34821.20,True
353,4096,18006,35763.10,True
354,4096,22750,35684.90,True
355,4096,19797,36583.80,True
356,4096,19208,34967.30,True
357,4096,18643,36520.40,True
358,4096,19331,35249.70,True
359,4096,18427,35706.30,True
360,4096,19590,34599.90,True
361,4096,19812,36631.80,True
362,4096,18976,36022.70,True
363,4096,19149,37328.00,True
364,4096,18011,35474.30,True
365,4096,18641,34793.10,True
366,4096,19769,35443.90,True
367,4096,19569,35044.50,True
368,4096,18062,37467.40,True
369,4096,18609,37437.10,True
