Chunk_ID,Size_Bytes,HashTime_uS,VerifyTime_uS,Valid
1,4096,60443,69324.50,True
2,4096,38880,58659.20,True
3,4096,53320,56768.20,True
4,4096,70305,55599.90,True
5,4096,79146,55228.80,True
6,4096,83977,56069.10,True
7,4096,49108,55486.90,True
8,4096,63221,56803.70,True
9,4096,66730,57509.10,True
10,4096,85036,56282.70,True
11,4096,62854,55795.40,True
12,4096,72873,57315.80,True
13,4096,58679,56299.70,True
14,4096,48869,55793.30,True
15,4096,71924,57300.30,True
16,4096,68544,57306.10,True
17,4096,75207,55987.10,True
18,4096,79955,57204.80,True
19,4096,65194,54528.50,True
20,4096,77169,56163.50,True
21,4096,69279,54148.80,True
22,4096,74505,54088.30,True
23,4096,52230,55257.20,True
24,4096,60936,55505.30,True
25,4096,63926,53319.20,True
26,4096,68589,58052.20,True
27,4096,68175,58654.70,True
28,4096,61758,55428.60,True
29,4096,60908,57990.60,True
30,4096,42910,56535.80,True
31,4096,53633,55233.80,True
32,4096,70091,55372.70,True
33,4096,71845,55454.30,True
34,4096,73640,55946.30,True
35,4096,57391,55241.50,True
36,4096,58301,57710.80,True
37,4096,66880,55664.50,True
38,4096,76354,56489.30,True
39,4096,71444,56067.40,True
40,4096,68795,56643.00,True
41,4096,47831,53489.50,True
42,4096,59433,56237.10,True
43,4096,71892,56582.80,True
44,4096,71841,57594.70,True
45,4096,64639,57123.60,True
46,4096,66125,54523.50,True
47,4096,63849,56196.30,True
48,4096,36187,64534.30,True
49,4096,59535,54045.90,True
50,4096,61129,55658.80,True
51,4096,60077,54110.20,True
52,4096,68127,55783.20,True
53,4096,47985,56530.70,True
54,4096,71676,57168.40,True
55,4096,72140,55732.60,True
56,4096,71192,55847.30,True
57,4096,60485,54512.80,True
58,4096,51863,56332.00,True
59,4096,59930,56190.40,True
60,4096,65178,59126.90,True
61,4096,69880,55709.70,True
62,4096,67907,56450.60,True
63,4096,71580,56703.00,True
64,4096,46383,56404.80,True
65,4096,52950,57748.40,True
66,4096,63475,55501.50,True
67,4096,64969,59483.30,True
68,4096,60659,55732.20,True
69,4096,70121,56253.30,True
70,4096,54200,55593.30,True
71,4096,47237,54716.30,True
72,4096,69758,55272.00,True
73,4096,74972,56474.50,True
74,4096,70213,56750.80,True
75,4096,49297,56795.70,True
76,4096,54396,55112.70,True
77,4096,80524,54661.90,True
78,4096,61813,55195.90,True
79,4096,61934,56762.90,True
80,4096,67002,56153.70,True
81,4096,68120,57298.90,True
82,4096,35813,54039.40,True
83,4096,79935,55432.30,True
84,4096,71936,56023.50,True
85,4096,61771,53258.70,True
86,4096,68018,55884.60,True
87,4096,46460,54430.40,True
88,4096,54968,57356.60,True
89,4096,64764,55704.90,True
90,4096,78097,55079.00,True
91,4096,72897,57108.90,True
92,4096,71792,59567.20,True
93,4096,39685,55615.60,True
94,4096,60328,55130.50,True
95,4096,66657,55816.30,True
96,4096,61088,56395.30,True
97,4096,56087,55207.10,True
98,4096,63693,60482.60,True
99,4096,66902,54684.30,True
100,4096,40003,56917.10,True
101,4096,48594,60665.50,True
102,4096,67914,56342.30,True
103,4096,74642,56817.50,True
104,4096,64016,55771.40,True
105,4096,41043,56157.50,True
106,4096,64521,56924.30,True
107,4096,83690,59733.10,True
108,4096,70077,57485.70,True
109,4096,62010,58858.10,True
110,4096,38930,58180.20,True
111,4096,63968,56307.30,True
112,4096,76302,59146.90,True
113,4096,62424,59365.20,True
114,4096,73713,58498.40,True
115,4096,74399,55975.70,True
116,4096,52164,57538.80,True
117,4096,51773,55327.00,True
118,4096,67490,58483.50,True
119,4096,64990,58297.90,True
120,4096,63060,61849.40,True
121,4096,72208,58788.20,True
122,4096,49611,56384.80,True
123,4096,54262,57024.40,True
124,4096,59334,59043.70,True
125,4096,69696,56130.20,True
126,4096,74708,55515.40,True
127,4096,42635,56044.70,True
128,4096,60482,55989.30,True
129,4096,48499,55950.40,True
130,4096,45243,54458.80,True
131,4096,54925,54573.00,True
132,4096,50787,55813.20,True
133,4096,71811,54573.50,True
134,4096,48372,55633.50,True
135,4096,42158,53776.10,True
136,4096,53809,59640.70,True
137,4096,74933,55431.30,True
138,4096,83027,55795.30,True
139,4096,75561,55565.50,True
140,4096,62061,55434.50,True
141,4096,54746,54982.70,True
142,4096,68228,55991.30,True
143,4096,68605,55014.00,True
144,4096,71208,58485.00,True
145,4096,52132,57885.50,True
146,4096,40130,55048.00,True
147,4096,46439,55989.90,True
148,4096,60776,60251.00,True
149,4096,67861,57840.40,True
150,4096,80039,57732.20,True
151,4096,78556,55514.00,True
152,4096,60737,58118.60,True
153,4096,48158,58123.20,True
154,4096,40608,55502.30,True
155,4096,71199,55158.30,True
156,4096,67890,57383.20,True
157,4096,71880,55914.60,True
158,4096,51860,55399.80,True
159,4096,68143,56186.30,True
160,4096,59398,55813.40,True
161,4096,60625,56266.20,True
162,4096,75398,56781.60,True
163,4096,63002,55537.60,True
164,4096,57000,54718.70,True
165,4096,47581,56480.60,True
166,4096,67653,54726.60,True
