Chunk_ID,Size_Bytes,SignTime_uS,VerifyTime_uS,Valid
1,4096,161,366.20,True
2,4096,104,132.10,True
3,4096,129,326.80,True
4,4096,96,252.40,True
5,4096,94,219.80,True
6,4096,128,106.40,True
7,4096,105,118.20,True
8,4096,127,105.00,True
9,4096,104,140.40,True
10,4096,93,110.70,True
11,4096,125,446.80,True
12,4096,132,394.20,True
13,4096,95,307.80,True
14,4096,134,107.60,True
15,4096,127,116.40,True
16,4096,135,345.40,True
17,4096,1814,349.10,True
18,4096,135,240.80,True
19,4096,133,233.90,True
20,4096,134,445.00,True
21,4096,134,528.60,True
22,4096,135,263.60,True
23,4096,132,406.80,True
24,4096,115,300.20,True
25,4096,134,913.70,True
26,4096,115,352.80,True
27,4096,136,179.90,True
28,4096,118,257.70,True
29,4096,132,235.80,True
30,4096,114,368.80,True
31,4096,138,463.50,True
32,4096,114,217.10,True
33,4096,96,458.10,True
34,4096,136,251.60,True
35,4096,115,389.90,True
36,4096,133,380.10,True
37,4096,117,520.20,True
38,4096,131,366.50,True
39,4096,115,316.70,True
40,4096,94,356.10,True
41,4096,134,446.90,True
42,4096,113,359.60,True
43,4096,132,378.50,True
44,4096,112,265.90,True
45,4096,135,384.40,True
46,4096,108,362.80,True
47,4096,133,334.10,True
48,4096,115,152.20,True
49,4096,94,401.30,True
50,4096,133,393.00,True
51,4096,108,453.00,True
52,4096,133,397.80,True
53,4096,112,510.70,True
54,4096,131,359.60,True
55,4096,132,227.10,True
56,4096,132,360.30,True
57,4096,116,407.40,True
58,4096,98,109.80,True
59,4096,93,124.70,True
60,4096,93,112.90,True
61,4096,91,117.50,True
62,4096,90,157.30,True
63,4096,91,198.90,True
64,4096,90,105.60,True
65,4096,136,476.70,True
66,4096,153,138.80,True
67,4096,131,483.50,True
68,4096,136,151.90,True
69,4096,113,346.80,True
70,4096,131,133.30,True
71,4096,130,192.30,True
72,4096,133,335.20,True
73,4096,112,419.60,True
74,4096,133,132.40,True
75,4096,111,163.40,True
76,4096,92,358.90,True
77,4096,129,185.40,True
78,4096,111,360.70,True
79,4096,132,327.50,True
80,4096,110,361.20,True
81,4096,130,452.40,True
82,4096,112,360.20,True
83,4096,131,475.70,True
84,4096,112,389.00,True
85,4096,132,395.50,True
86,4096,144,359.60,True
87,4096,131,473.10,True
88,4096,114,358.70,True
89,4096,129,455.40,True
90,4096,105,232.20,True
91,4096,131,485.00,True
92,4096,111,391.30,True
93,4096,132,436.50,True
94,4096,125,265.90,True
95,4096,93,315.50,True
96,4096,134,297.30,True
97,4096,112,299.70,True
98,4096,93,399.70,True
99,4096,133,194.70,True
100,4096,98,565.20,True
101,4096,136,362.70,True
102,4096,106,252.10,True
103,4096,93,442.50,True
104,4096,129,138.80,True
105,4096,109,237.90,True
106,4096,136,396.00,True
107,4096,114,483.50,True
