Chunk_ID,Size_Bytes,SignTime_uS,VerifyTime_uS,Valid
1,4096,182,560.60,True
2,4096,104,266.30,True
3,4096,142,327.90,True
4,4096,106,183.50,True
5,4096,187,277.70,True
6,4096,100,152.70,True
7,4096,202,330.30,True
8,4096,103,263.40,True
9,4096,180,307.70,True
10,4096,157,471.00,True
11,4096,100,337.30,True
12,4096,210,269.10,True
13,4096,144,439.30,True
14,4096,99,363.40,True
15,4096,3095,298.80,True
16,4096,192,474.00,True
17,4096,132,455.20,True
18,4096,102,130.10,True
19,4096,141,406.20,True
20,4096,139,430.70,True
21,4096,141,448.80,True
22,4096,118,132.40,True
23,4096,181,440.80,True
24,4096,94,304.30,True
25,4096,90,497.00,True
26,4096,130,313.40,True
27,4096,96,334.40,True
28,4096,134,265.50,True
29,4096,92,360.70,True
30,4096,134,266.60,True
31,4096,93,305.80,True
32,4096,89,368.00,True
33,4096,134,519.80,True
34,4096,105,228.80,True
35,4096,89,233.40,True
36,4096,203,131.60,True
37,4096,124,343.10,True
38,4096,142,245.70,True
39,4096,143,390.90,True
40,4096,146,362.40,True
41,4096,107,337.20,True
42,4096,142,131.90,True
43,4096,229,484.80,True
44,4096,206,292.60,True
45,4096,1573,344.90,True
46,4096,187,235.40,True
47,4096,114,382.00,True
48,4096,130,132.20,True
49,4096,98,169.60,True
50,4096,191,176.20,True
51,4096,115,434.50,True
52,4096,183,266.40,True
53,4096,114,169.90,True
54,4096,178,383.60,True
55,4096,123,450.60,True
56,4096,139,270.10,True
57,4096,93,169.90,True
58,4096,91,107.20,True
59,4096,97,117.70,True
60,4096,88,105.20,True
61,4096,87,117.90,True
62,4096,87,282.20,True
63,4096,93,145.10,True
64,4096,137,362.20,True
65,4096,113,395.50,True
66,4096,142,376.80,True
67,4096,129,540.50,True
68,4096,143,323.30,True
69,4096,1696,177.60,True
70,4096,152,263.40,True
71,4096,155,429.90,True
72,4096,144,169.00,True
73,4096,98,311.70,True
74,4096,151,175.40,True
75,4096,152,459.20,True
76,4096,5061,435.00,True
77,4096,139,436.20,True
