CBHV - Sign Time (μs)
Stress Level,ESP32,Pi3B+,Pi5
0%,108.90,55.85,38.92
25%,110.76,55.87,57.82
50%,114.20,59.30,40.01
99%,110.19,62.78,34.58

CBHV - Verify Time (μs)
Stress Level,ESP32,Pi3B+,Pi5
0%,9.19,8.25,12.15
25%,7.54,9.17,11.33
50%,8.28,9.34,11.23
99%,8.28,9.33,10.83

CBHV - Upload Time (μs)
Stress Level,ESP32,Pi3B+,Pi5
0%,657293.87,306299.37,194542.71
25%,688852.25,309788.72,185595.14
50%,654455.20,302502.34,182026.13
99%,625925.04,362875.63,186856.30

CBHV - Fetch Time (μs)
Stress Level,ESP32,Pi3B+,Pi5
0%,597101.32,587717.93,605297.30
25%,606731.97,616538.70,608261.73
50%,603936.42,604580.05,603277.78
99%,603971.66,605366.96,607351.62
